Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AO9926C1,~,SOIC-8_3.9x4.9mm_P1.27mm,162.555,-135.765,180.0,bottom
BATT_P1,TL3305AF160QG,TL3305AF160QG,160.48,-127.37,180.0,bottom
BOOT1,TL3305AF160QG,TL3305AF160QG,116.31,-114.01,90.0,bottom
C1,0.1uF,C_0603_1608Metric,118.88,-133.325,270.0,bottom
C1,0.1uF,C_0603_1608Metric,110.34,-82.235,90.0,top
C10,1uF,C_0603_1608Metric,151.48,-120.0,0.0,top
C11,1uF,C_0603_1608Metric,147.28,-121.55,0.0,top
C2,0.1uF,C_0603_1608Metric,120.58,-133.325,270.0,bottom
C2,0.1uF,C_0603_1608Metric,108.99,-88.795,0.0,top
C3,0.1uF,C_0603_1608Metric,120.63,-130.335,270.0,bottom
C3,0.1uF,C_0603_1608Metric,114.75,-88.795,0.0,top
C4,4.7uF,C_0603_1608Metric,153.33,-133.6,270.0,bottom
C4,4.7uF,C_0603_1608Metric,114.75,-90.265,0.0,top
C5,0.1uF,C_0603_1608Metric,149.0351,-108.75,0.0,bottom
C5,0.1uF,C_0603_1608Metric,120.295,-88.795,0.0,top
C6,0.1uF,C_0603_1608Metric,150.5851,-116.7,0.0,bottom
C6,0.1uF,C_0603_1608Metric,148.08,-85.835,-90.0,top
C7,1uF,C_0603_1608Metric,148.4851,-112.3,0.0,bottom
C8,1uF,C_0603_1608Metric,138.58,-109.4,180.0,bottom
C9,1uF,C_0603_1608Metric,143.93,-111.1,270.0,bottom
D1,ESD5Zxx,D_SOD-523,167.238,-84.975,0.0,top
D1,ESD5Zxx,D_SOD-523,167.238,-61.9,0.0,top
D3,SD0805S040S0R5,D_0805_2012Metric,143.13,-122.5,270.0,bottom
D4,SD0805S040S0R5,D_0805_2012Metric,146.93,-118.4,270.0,bottom
EN1,TL3305AF160QG,TL3305AF160QG,116.31,-123.43,90.0,bottom
J1,USB4140-GF-0070-C,USB4140GF0070C,167.105,-91.52375,0.0,bottom
J1,USB4140-GF-0070-C,USB4140GF0070C,157.54,-139.9,90.0,bottom
J1,USB4140-GF-0070-C,USB4140GF0070C,105.65,-85.855,0.0,bottom
J1,USB4140-GF-0070-C,USB4140GF0070C,105.67,-62.505,0.0,bottom
J1,USB4140-GF-0070-C,USB4140GF0070C,167.105,-68.44875,0.0,bottom
J10,Conn_01x01_Socket,PinSocket_1x01_P2.54mm_Vertical,140.43,-106.55,90.0,bottom
J11,Conn_01x01_Socket,PinSocket_1x01_P2.54mm_Vertical,122.63,-106.5,90.0,bottom
J12,Conn_01x01_Socket,PinSocket_1x01_P2.54mm_Vertical,119.08,-106.5,90.0,bottom
J13,Conn_01x01_Socket,PinSocket_1x01_P2.54mm_Vertical,129.73,-106.5,90.0,bottom
J14,Conn_01x01_Socket,PinSocket_1x01_P2.54mm_Vertical,133.28,-106.5,90.0,bottom
J15,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,116.15,-133.78,180.0,bottom
J2,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,131.49,-110.45,0.0,top
J2,Conn_01x01_Pin,PinHeader_1x01_P2.54mm_Vertical,114.76,-79.335,0.0,bottom
J3,Led display,tm1637_module,108.485,-120.96,0.0,top
J4,Led display 2,PinHeader_1x04_P2.54mm_Vertical,111.73,-120.97,180.0,top
J5,Conn_01x07_Socket,PinSocket_1x07_P2.54mm_Vertical,163.6,-103.8,270.0,bottom
J6,Conn_01x07_Socket,PinSocket_1x07_P2.54mm_Vertical,169.18,-120.98,0.0,bottom
J7,Conn_01x01_Socket,PinSocket_1x01_P2.54mm_Vertical,136.83,-106.55,90.0,bottom
J8,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,112.875,-104.35,270.0,bottom
J9,Conn_01x01_Socket,PinSocket_1x01_P2.54mm_Vertical,126.18,-106.55,90.0,bottom
L1,CPT-14146-80T,CPT1414680T,129.92,-85.94,0.0,top
Q1,FS8205A,SOP65P640X120-8N,168.08,-135.2,270.0,bottom
Q2,FDN304PZ,SOT-23,144.03,-119.0625,180.0,bottom
R1,5.1k,R_0402_1005Metric,167.568,-87.045,90.0,top
R1,5.1k,R_0402_1005Metric,119.43,-130.36,270.0,bottom
R1,5.1k,R_0402_1005Metric,109.0,-82.7825,90.0,top
R1,5.1k,R_0402_1005Metric,167.568,-63.97,90.0,top
R10,800k,R_0402_1005Metric,143.13,-127.05,270.0,bottom
R11,5.1k,R_0402_1005Metric,132.78,-112.55,90.0,bottom
R12,5.1k,R_0402_1005Metric,135.28,-112.55,90.0,bottom
R2,5.1k,R_0402_1005Metric,166.598,-87.055,90.0,top
R2,5.1k,R_0402_1005Metric,149.88,-128.75,180.0,top
R2,5.1k,R_0402_1005Metric,114.77,-82.7825,-90.0,top
R2,5.1k,R_0402_1005Metric,166.598,-63.98,90.0,top
R3,10K,R_0402_1005Metric,147.83,-128.75,180.0,top
R3,10K,R_0402_1005Metric,120.295,-82.7825,-90.0,top
R4,330R,R_0402_1005Metric,153.53,-136.05,270.0,bottom
R4,330R,R_0402_1005Metric,127.27,-89.735,0.0,bottom
R5,2.7K,R_0402_1005Metric,157.82,-137.75,180.0,bottom
R6,10K,R_0402_1005Metric,151.33,-112.7,180.0,bottom
R7,500k,R_0402_1005Metric,143.13,-125.15,270.0,bottom
R8,100K,R_0402_1005Metric,145.03,-121.6,180.0,bottom
R9,50k,R_0402_1005Metric,145.03,-123.5,180.0,bottom
S1,B3F-5050,B3F-4055,119.055,-62.9785,90.0,top
S2,B3F-5050,B3F-4055,131.855,-62.9885,90.0,top
S3,B3F-5050,B3F-4055,160.48,-114.5575,0.0,top
S4,B3F-5050,B3F-4055,160.48,-127.3625,0.0,top
U1,TMAG5231C1GQDBZR,SOT-23-3,131.395,-124.79,180.0,bottom
U1,TMAG5231C1GQDBZR,SOT-23-3,108.995,-85.7525,90.0,top
U1,TMAG5231C1GQDBZR,SOT-23-3,147.36,-62.59,90.0,top
U2,~,LTR-F216A,156.13,-135.55,0.0,bottom
U2,~,LTR-F216A,114.7604,-85.94,0.0,top
U3,OPT3004DTSR,DNP6_TEX,149.79,-131.95,90.0,bottom
U3,OPT3004DTSR,DNP6_TEX,120.295,-85.6658,90.0,top
U4,SHT4x,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,150.0351,-114.6,90.0,bottom
U4,SHT4x,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,146.0875,-85.835,0.0,top
U5,MCP73811T-420I-OT,SOT-23-5,147.905,-119.0375,0.0,top
U7,TLV75533PDBV,SOT-23-5,141.1325,-111.84,0.0,bottom
USB_BOARD1,Conn_01x02_Socket,SHDR2W64P0X250_1X2_740X575X700P,167.105,-80.685,180.0,top
USB_BOARD1,Conn_01x02_Socket,SHDR2W64P0X250_1X2_740X575X700P,149.78,-124.05,90.0,bottom
USB_BOARD1,Conn_01x02_Socket,SHDR2W64P0X250_1X2_740X575X700P,167.105,-57.61,180.0,top
